variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
win_pres,0.24430000000000018,0,0.4296928828795264,0,0,1,0.9998854474920524,8541.712099248072,NA
win_pres_g,0.07470000000000002,0,0.2629198027579265,0,0,1,1.0003208051573187,8066.9465081107965,NA
win_state[1],0.001400000000000007,0,0.03739224275143094,0,0,0,0.999794809379202,10058.989113872805,10058.989113872805
win_state[2],0.033499999999999926,0,0.17994718141390234,0,0,0,0.9997503222279487,9300.72769959137,9300.727699591385
win_state[3],0.24440000000000014,0,0.4297523806924616,0,0,1,1.0001979008703927,10072.952110273991,NA
win_state[4],0.0016000000000000012,0,0.03996998573900587,0,0,0,0.9998407574773476,10062.939873746645,10062.93987374664
win_state[5],0.9971000000000001,1,0.053776195364851086,0,1,1,1.0002165681889812,10088.538113493762,NA
win_state[6],0.7658,1,0.4235189450658135,0,0,1,0.9998209777645614,9842.486530780334,NA
win_state[7],0.9308000000000001,1,0.25380662280599486,0,0,1,0.999890012804785,9669.557612544502,NA
win_state[8],0.9195000000000001,1,0.2720793132806347,0,0,1,0.99966701282626,9942.898361870954,NA
win_state[9],0.9984,1,0.039969985739005315,0,1,1,0.9998407574773476,8937.064285893644,NA
win_state[10],0.1466000000000004,0,0.3537244013284738,0,0,1,0.9998885061251622,9788.026572386269,NA
win_state[11],0.21870000000000067,0,0.413385290908972,0,0,1,1.0000787090148469,10147.10623262699,NA
win_state[12],0.9897,1,0.10096994351266543,0,1,1,0.9998186428464096,9140.908639630796,NA
win_state[13],9.000000000000281e-4,0,0.02998799639843901,0,0,0,1.0005237016125132,10036.238116567074,10036.238116567069
win_state[14],0.9009,1,0.2988111758483376,0,0,1,0.9996401595307361,9497.187086862814,NA
win_state[15],0.013100000000000047,0,0.11370876381482223,0,0,0,1.0004181179522553,5786.995668949422,5786.995668949393
win_state[16],0.04869999999999983,0,0.2152508845378673,0,0,0,1.0003756736353562,9733.600463379771,9733.600463379784
win_state[17],0.011700000000000014,0,0.10753727924138551,0,0,0,0.9997711440252374,9712.715453415733,9712.715453415733
win_state[18],0.0024000000000000475,0,0.048933418518891415,0,0,0,1.000984683497448,7622.28621658182,7622.286216581851
win_state[19],0.007999999999999993,0,0.0890886843508612,0,0,0,0.9999310127217264,9940.121719198612,9940.121719198616
win_state[20],0.9796000000000001,1,0.1413712792042774,0,1,1,1.000058299796982,9848.917269487707,NA
win_state[21],0.1369999999999996,0,0.34386454350869167,0,0,1,1.0001281131722495,10278.638847891958,NA
win_state[22],0.9985,1,0.03870271036993175,0,1,1,0.9995948377421702,10061.529486020268,NA
win_state[23],0.9983,1,0.04119805490521028,0,1,1,0.9999509353522213,10064.695727334456,NA
win_state[24],0.37749999999999995,0,0.4847857792109577,0,0,1,0.9998435417211026,10013.779332526537,NA
win_state[25],0.5350000000000004,1,0.4987984362324941,0,0,1,0.999801256931278,9529.650928512736,NA
win_state[26],0.023800000000000095,0,0.15243321025406173,0,0,0,0.9994998186830972,10453.238994230596,10453.238994230596
win_state[27],0.03070000000000006,0,0.17251227796480131,0,0,0,1.0000500646637869,9347.266567313092,9347.266567313078
win_state[28],0.008199999999999959,0,0.0901863257780073,0,0,0,0.9998476530658645,9415.022422492862,9415.022422492842
win_state[29],0.011099999999999928,0,0.1047754159561195,0,0,0,1.0000935847580468,9344.881955699657,9344.881955699657
win_state[30],0.46449999999999947,0,0.49876309653246675,0,0,1,0.9999386033056614,9668.0687398963,NA
win_state[31],1.0000000000000776e-4,0,0.01000000000000131,0,0,0,1,10032.154258256218,10032.154258256218
win_state[32],0.3288999999999997,0,0.4698370618484909,0,0,1,1.0000652152420615,10393.577255871778,NA
win_state[33],0.5721000000000004,1,0.4947990224396621,0,0,1,1.0004766862802699,10297.307005211858,NA
win_state[34],0.8278,1,0.3775730606672092,0,0,1,1.0001830268432546,9730.86423546072,NA
win_state[35],0.7609000000000002,1,0.4265552542619437,0,0,1,0.9998582544790607,9492.2967436715,NA
win_state[36],0.9302000000000004,1,0.2548223958865293,0,0,1,1.000235648017452,9181.286180818253,NA
win_state[37],0.2223999999999997,0,0.4158792319334381,0,0,1,1.0000734055538427,10060.901894536786,NA
win_state[38],1.0000000000000776e-4,0,0.010000000000001976,0,0,0,1,10032.154258256218,10032.154258256218
win_state[39],0.11169999999999979,0,0.3150127510170692,0,0,1,0.9998244634429593,9834.32596165873,NA
win_state[40],2.0000000000001565e-4,0,0.014141428428549797,0,0,0,0.9999466652443686,10034.305464211331,10034.305464211331
win_state[41],0.8839999999999998,1,0.3202409334010203,0,0,1,0.9998754833677752,10014.045912786578,NA
win_state[42],0.3193000000000007,0,0.46622874956903454,0,0,1,0.999875821345628,9872.245556650307,NA
win_state[43],0.9482000000000002,1,0.2216340952272983,0,0,1,0.9998386427422924,9511.393180765128,NA
win_state[44],0.03980000000000019,0,0.1954988030096466,0,0,0,1.0000524158898194,9947.908135067977,9947.908135067995
win_state[45],0.0036999999999999806,0,0.06071802588907803,0,0,0,1.0008093407467296,8430.357624766153,8430.357624766157
win_state[46],0.001699999999999979,0,0.04119805490520902,0,0,0,0.9999509353522213,10064.695727334456,10064.695727334456
win_state[47],0.08730000000000054,0,0.2822882899942061,0,0,1,1.0000567111306646,9952.907690793465,NA
win_state[48],8.000000000000193e-4,0,0.02827436902911142,0,0,0,1.0006960885212324,8027.492999853478,8027.492999853473
win_state[49],0.9998,1,0.014141428428549546,0,1,1,0.9999466652443686,10034.305464211337,NA
win_state[50],0.6370999999999998,1,0.4808603879206986,0,0,1,0.9996500410360029,9825.6906458996291,NA
win_state[51],0.936,1,0.2447651752171929,0,0,1,0.9997865782930014,10031.533369955308,NA
win_state[52],4.000000000000304e-4,0,0.019996999474890826,0,0,0,1.001123994823842,10035.381461418716,10035.381461418716
win_state[53],0.41790000000000005,0,0.493238196403977,0,0,1,0.9997898707383653,9375.219548733103,NA
win_state[54],2.0000000000000898e-4,0,0.0141414284285493,0,0,0,0.9999466652443686,10034.305464211331,10034.305464211331
win_state[55],0.4189999999999999,0,0.49342005060054356,0,0,1,0.9993551373967782,9962.060993756666,NA
win_state[56],0.0016999999999999845,0,0.04119805490520861,0,0,0,0.9998502587529101,10063.041598553149,10063.041598553149
win_state[57],0.6770999999999998,1,0.4676082289113321,0,0,1,0.999952524551949,9175.820056601517,NA
win_state_g[1],0.0024000000000000674,0,0.04893341851889271,0,0,0,0.9999840020136465,10078.89327929777,10078.893279297776
win_state_g[2],0.033700000000000264,0,0.18046486294201994,0,0,0,1.0000357333877818,8583.138379170532,8583.138379170525
win_state_g[3],0.1740000000000003,0,0.37912843976331206,0,0,1,0.9998082758533025,9665.774954940047,NA
win_state_g[4],0.001400000000000006,0,0.037392242751431354,0,0,0,0.999550535729368,10059.608560214345,10059.608560214345
win_state_g[5],0.9398999999999998,1,0.23768390640497447,0,0,1,1.0001184832856431,9152.774595268595,NA
win_state_g[6],0.5248,1,0.4994095523617059,0,0,1,0.9998574088662945,11262.980230572583,NA
win_state_g[7],0.7404999999999997,1,0.4383822166748495,0,0,1,0.9998518389987322,9873.771906477012,NA
win_state_g[8],0.7221999999999995,1,0.4479366302530796,0,0,1,0.9995882242947223,10711.918959277,NA
win_state_g[9],0.9967,1,0.05735363060778094,0,1,1,0.9996390234555621,9514.058034177438,NA
win_state_g[10],0.1169999999999997,0,0.32143635782719415,0,0,1,0.9998421429840809,8661.364380627421,NA
win_state_g[11],0.15890000000000035,0,0.36560108918827877,0,0,1,0.9997598891063644,9544.956269002567,NA
win_state_g[12],0.9293999999999999,1,0.2561683083837888,0,0,1,1.0000293580411868,9180.840079127747,NA
win_state_g[13],5.000000000000006e-4,0,0.02235620674439483,0,0,0,0.9997866439062553,10040.767379924375,10040.767379924384
win_state_g[14],0.7027999999999993,1,0.45704819144692427,0,0,1,0.9998055694563783,11621.673548775423,NA
win_state_g[15],0.015099999999999775,0,0.12195686675105871,0,0,0,1.0002097781560901,6835.110973802619,6835.110973802628
win_state_g[16],0.046600000000000114,0,0.2107910892052499,0,0,0,0.9997830909704667,9538.501833616838,9538.50183361683
win_state_g[17],0.014500000000000039,0,0.11954571978080733,0,0,0,0.9995276324516585,9340.412745465119,9340.412745465119
win_state_g[18],0.0025999999999999795,0,0.05092641112365414,0,0,0,0.999717904875202,9356.097578672783,9356.097578672803
win_state_g[19],0.009600000000000004,0,0.09751302927858753,0,0,0,0.999845940417497,10127.312819709061,10127.312819709055
win_state_g[20],0.8591000000000002,1,0.34793576408523497,0,0,1,0.9995188668131064,10057.111127869115,NA
win_state_g[21],0.10870000000000013,0,0.3112780098239513,0,0,1,1.0002563640622588,9663.447192056376,NA
win_state_g[22],0.9583999999999999,1,0.19968331763753622,0,1,1,0.9997689947631034,8195.803470425146,NA
win_state_g[23],0.9583999999999999,1,0.19968331763753616,0,1,1,0.9997689947631034,8540.788918949587,NA
win_state_g[24],0.24819999999999984,0,0.43199007111526916,0,0,1,0.9996879139363832,11193.012897699633,NA
win_state_g[25],0.34670000000000045,0,0.4759430240860915,0,0,1,0.9999878503543417,10914.587782356306,NA
win_state_g[26],0.020199999999999982,0,0.14069093572059832,0,0,0,0.9997936006870043,9311.982162160593,9311.982162160593
win_state_g[27],0.028699999999999948,0,0.16697035039130098,0,0,0,1.0000783945355192,9590.008040928598,9590.008040928566
win_state_g[28],0.013599999999999971,0,0.11582910531538625,0,0,0,0.9999504543061382,9129.805877441353,9129.805877441357
win_state_g[29],0.010499999999999881,0,0.10193522001207121,0,0,0,1.000300523343832,9413.504320927379,9413.504320927383
win_state_g[30],0.3046999999999997,0,0.4603032673246736,0,0,1,0.9996587526343045,11074.579215952388,NA
win_state_g[31],0,0,0,0,0,0,NA,NA,NA
win_state_g[32],0.22799999999999973,0,0.419563586790268,0,0,1,1.0000794751562414,10134.082553383745,NA
win_state_g[33],0.37309999999999943,0,0.483652542615297,0,0,1,1.0000852960897157,11881.702130096384,NA
win_state_g[34],0.6010000000000008,1,0.4897172472950257,0,0,1,0.999964868732901,11027.707292821802,NA
win_state_g[35],0.5203000000000001,1,0.49961272130232376,0,0,1,0.999850178517343,11655.236753439354,NA
win_state_g[36],0.7561,1,0.4294545763213263,0,0,1,1.0001700510094258,10020.770946204866,NA
win_state_g[37],0.1556000000000002,0,0.36249383467585905,0,0,1,0.9999421909157218,10189.303342648012,NA
win_state_g[38],4.000000000000145e-4,0,0.019996999474890077,0,0,0,1.0002674862784724,10037.534823626505,10037.534823626505
win_state_g[39],0.08769999999999992,0,0.28287225327200377,0,0,1,0.9996074709519557,9791.335228592234,NA
win_state_g[40],2.0000000000001543e-4,0,0.014141428428549645,0,0,0,0.9999466652443686,10034.305464211331,10034.305464211331
win_state_g[41],0.6607999999999993,1,0.4734614837319201,0,0,1,0.9998637106801339,11028.256382352532,NA
win_state_g[42],0.21729999999999963,0,0.4124290481670431,0,0,1,0.9999627075131432,10767.58542848434,NA
win_state_g[43],0.7785999999999995,1,0.41520992272339974,0,0,1,1.0000314828437602,9865.14664920622,NA
win_state_g[44],0.035699999999999885,0,0.1855504052684558,0,0,0,0.9997584723256729,10055.007242229714,10055.007242229698
win_state_g[45],0.0039000000000000016,0,0.06233120019582812,0,0,0,0.9995935931235922,10108.178166053785,10108.178166053785
win_state_g[46],0.0014999999999999603,0,0.03870271036993232,0,0,0,0.9999369428129226,10060.661797735578,10060.661797735573
win_state_g[47],0.07419999999999957,0,0.26210919503715235,0,0,1,1.0002210888853136,9152.43631482619,NA
win_state_g[48],0.0014999999999999812,0,0.038702710369931836,0,0,0,0.9999369428129226,8006.878444075382,8006.878444075382
win_state_g[49],0.9895999999999999,1,0.10145377906676753,0,1,1,1.0003115314709556,9850.324538332301,NA
win_state_g[50],0.42910000000000037,0,0.4949724131393549,0,0,1,0.9997313582812372,11829.154353044765,NA
win_state_g[51],0.7466999999999998,1,0.43492301135098826,0,0,1,0.9999440177473345,10565.032223079683,NA
win_state_g[52],3.000000000000073e-4,0,0.017318775765029198,0,0,0,0.9998933276438375,10036.458052252543,10036.45805225254
win_state_g[53],0.2770999999999997,0,0.44758867675845154,0,0,1,0.9995490697825598,9731.107290638618,NA
win_state_g[54],2.0000000000001568e-4,0,0.014141428428549183,0,0,0,0.9999466652443686,10034.305464211337,10034.305464211331
win_state_g[55],0.27660000000000023,0,0.4473393021467089,0,0,1,0.9999025117381349,10744.999945339017,NA
win_state_g[56],0.0012999999999999737,0,0.03603387078825,0,0,0,0.9998857980199214,10056.72680503938,10056.726805039376
win_state_g[57],0.4460999999999997,0,0.4971111565336343,0,0,1,0.9995084545889764,11880.861323592802,NA
