name,estimate,.lower,.upper,.width,.point,.interval
Adam Lustick,0.08468165,-0.5121199999999998,0.60325435,0.95,median,qi
Alex Schmidt,0.286563,-0.25411342499999995,0.8225164499999996,0.95,median,qi
Alex Song,0.184552,-0.399416225,0.7003807249999998,0.95,median,qi
Alice Wetterlund,0.2545845,-0.301880375,0.7662932249999995,0.95,median,qi
Ally Beardsley,-0.0140232,-0.45050499999999993,0.37865629999999967,0.95,median,qi
Alyssa Rousonelos,0.328203,-0.197445775,0.8288739999999999,0.95,median,qi
Amanda Lehan-Canto,0.314363,-0.27744407499999985,0.8878755249999997,0.95,median,qi
Amy Dallen,0.4757615,0.12352032500000001,0.8161394999999999,0.95,median,qi
Amy Vorpahl,0.1109875,-0.23409097499999998,0.4319340749999999,0.95,median,qi
Andrew Rosas,0.141373,-0.3315033499999998,0.574996875,0.95,median,qi
Anthony Burch,0.5334795,0.0239832750000001,1.0880122499999998,0.95,median,qi
Azeem Jimoh,0.3136095,-0.2991021999999997,0.9104084749999998,0.95,median,qi
B. Dave Walters,0.3385175,-0.142872175,0.8257012499999996,0.95,median,qi
Becca Scott,0.25909550000000003,-0.08736361499999999,0.6107983999999999,0.95,median,qi
Becky Drysdale,0.3020275,-0.263544975,0.8219487499999998,0.95,median,qi
Ben Joseph,0.3878975,-0.148325425,0.9313649999999997,0.95,median,qi
Benjamin Siemon,0.4711075,0.020284427500000056,0.943638125,0.95,median,qi
Beth May,0.2855615,-0.2626943,0.7928434749999999,0.95,median,qi
Betsy Sodaro,0.3627535,-0.09705327249999986,0.8120671999999998,0.95,median,qi
Blaine Swen,0.2902975,-0.2572221249999997,0.828035575,0.95,median,qi
Brennan Lee Mulligan,0.916239,0.58755125,1.2558832500000001,0.95,median,qi
"Brian ""Murph"" Murphy",0.397999,-0.0573546449999998,0.853071375,0.95,median,qi
Brian David Gilbert,0.2232475,-0.29048479999999993,0.7002134749999993,0.95,median,qi
Brodie Reed,0.3878545,-0.13046292499999954,0.9340396,0.95,median,qi
Caldwell Tanner,0.388382,-0.010751304999999867,0.7865274999999999,0.95,median,qi
Carlos Luna,0.4178075,-0.09739459749999987,0.958221875,0.95,median,qi
Carolyn Page,0.45500050000000003,0.07585542000000005,0.8326849249999997,0.95,median,qi
Charlotte Avery,0.3152465,-0.26683329999999994,0.88663235,0.95,median,qi
Chris Calilung,0.18793949999999998,-0.3999062249999999,0.7243488,0.95,median,qi
Chris Grace,0.2771645,-0.24556227499999986,0.7998530249999997,0.95,median,qi
Clint McElroy,0.09607735,-0.48563259999999997,0.6128952249999999,0.95,median,qi
Cody Ziglar,0.487811,0.009322774750000025,0.9827698749999996,0.95,median,qi
Coy Jandreau,0.212939,-0.3358238749999998,0.7336940999999998,0.95,median,qi
Damien Haas,0.356334,-0.17244612499999998,0.8819776499999998,0.95,median,qi
Dan Black,0.4962405,0.025316032500000054,0.9819169749999999,0.95,median,qi
Dani Fernandez,0.38190999999999997,-0.07771279749999987,0.8347760999999995,0.95,median,qi
Daniel O'Brien,0.293794,-0.25512457499999985,0.8203713749999999,0.95,median,qi
Danielle Radford,0.11211499999999999,-0.28937949999999996,0.46942999999999985,0.95,median,qi
Dante Basco,0.3177955,-0.29891435,0.907224975,0.95,median,qi
David Gallegos,0.266546,-0.27916417499999996,0.7838714999999994,0.95,median,qi
David Kerns,0.2197515,-0.33103127499999996,0.7398138249999999,0.95,median,qi
DC Pierson,0.3686885,-0.11275392499999981,0.8589340749999996,0.95,median,qi
Demi Adejuyigbe,0.32962800000000003,-0.16036284999999986,0.8155555999999995,0.95,median,qi
Devon Stewart,0.138329,-0.44979892499999996,0.6505873749999997,0.95,median,qi
Edgar Momplaisir,0.29726600000000003,-0.24848307499999975,0.8251619999999985,0.95,median,qi
Eli Yudin,0.5571955,0.109238425,1.0201234999999997,0.95,median,qi
Elyse Willems,0.30451249999999996,-0.28437327499999987,0.8954890249999999,0.95,median,qi
Eme Ikwuakor,0.094339,-0.48213314999999984,0.6006629499999998,0.95,median,qi
Emily Axford,0.1695615,-0.4132465999999999,0.6825895999999998,0.95,median,qi
Emily Heller,0.35606099999999996,-0.1763084499999998,0.8885620999999995,0.95,median,qi
Emma Fyffe,0.38828450000000003,0.06065340250000011,0.7043383499999997,0.95,median,qi
Erik Voss,0.356543,-0.14339119999999986,0.8472331249999996,0.95,median,qi
Erika Ishii,0.6255125,0.27006535000000004,0.9693711749999999,0.95,median,qi
Fiona Nova,0.239157,-0.2753955499999997,0.7117129499999999,0.95,median,qi
Frank Hejl,0.17333900000000002,-0.38449552499999995,0.6833017249999997,0.95,median,qi
Freddie Wong,0.3383255,-0.1928502499999998,0.8706683,0.95,median,qi
Frosk,0.303869,-0.2487548499999999,0.8351776499999997,0.95,median,qi
Glenn Boozan,0.2728205,-0.235907975,0.7450507999999997,0.95,median,qi
Grae Drake,0.32924149999999996,-0.19220907499999995,0.8485329999999998,0.95,median,qi
Grant O'Brien,0.35957249999999996,-0.13087002499999995,0.8483195749999999,0.95,median,qi
Gustavo Sorola,0.2033595,-0.2644134999999999,0.6450945499999996,0.95,median,qi
Haley Mancini,0.2592285,-0.133058725,0.64509575,0.95,median,qi
Harvey Guillén,0.3131255,-0.287685325,0.897339625,0.95,median,qi
Hector Navarro,0.396317,-0.09177164999999994,0.8870013249999995,0.95,median,qi
Ian Adams,0.464558,-0.05690199499999993,1.0067774999999994,0.95,median,qi
Ify Nwadiwe,0.578851,0.26916165000000003,0.9006331000000001,0.95,median,qi
Ivan Van Norman,0.09489439999999999,-0.4929884999999998,0.6190128749999998,0.95,median,qi
Izzy Roland,0.38812800000000003,-0.07810204749999992,0.837057475,0.95,median,qi
Jack De Sena,0.31252199999999997,-0.2888257,0.9019995499999994,0.95,median,qi
Jackie Kashian,0.2304945,-0.27945187499999996,0.6984293249999995,0.95,median,qi
Jamel Wood,0.6236485,0.09661334000000002,1.21742775,0.95,median,qi
James Willems,0.470089,-0.030769172499999907,1.0143029999999997,0.95,median,qi
Janet Varney,0.308352,-0.2999390749999999,0.9078973749999998,0.95,median,qi
Janie Stolar,0.307521,-0.18331897499999986,0.7954601249999997,0.95,median,qi
Jared Logan,0.582133,0.15086320000000011,1.0351349999999997,0.95,median,qi
Jarvis Johnson,0.3100505,-0.317675575,0.9094134249999999,0.95,median,qi
Jasmine Bhullar,0.39741150000000003,-0.13188615,0.9298846999999998,0.95,median,qi
Jason Gong,0.4390625,-0.08350325499999994,0.9773543999999994,0.95,median,qi
Jay Washington,0.1145175,-0.3320999499999998,0.5294302249999999,0.95,median,qi
Jeff Hiller,0.393128,-0.1315846,0.9245277249999999,0.95,median,qi
Jenny Lorenzo,0.1529005,-0.3836650499999999,0.6379985,0.95,median,qi
Jeremy Puckett,0.7028155,0.16830207500000008,1.3204997499999998,0.95,median,qi
Jessica Clemons,0.367687,-0.04584592749999999,0.771838575,0.95,median,qi
Jessica Ross,0.1166265,-0.26643829999999985,0.4668995999999998,0.95,median,qi
Jimmy Wong,0.348421,-0.19873082499999997,0.8791485749999999,0.95,median,qi
Joan Ford,0.6015425000000001,0.21254102500000002,1.0006414999999995,0.95,median,qi
Joey Bland,0.4146435,-0.12559619999999982,0.9725940499999997,0.95,median,qi
Johnny Stanton,0.0894094,-0.5177763749999998,0.6038504749999998,0.95,median,qi
"Jon ""Gutes"" Gutierrez",0.7589665,0.414332125,1.09903175,0.95,median,qi
Jon Braylock,0.4155565,-0.11113114999999993,0.9753777,0.95,median,qi
Jon Gabrus,0.1825515,-0.295979675,0.6221105249999994,0.95,median,qi
Jonah Ray Rodrigues,0.30825800000000003,-0.2866153499999999,0.8761699249999998,0.95,median,qi
Jordan Adika,0.313064,-0.29242539999999995,0.8919338499999999,0.95,median,qi
Jordan Doll,0.486566,0.12978335000000005,0.842966525,0.95,median,qi
Jujubee,0.30911449999999996,-0.28039795,0.8517778999999996,0.95,median,qi
Julia Prescott,0.41780399999999995,-0.055242857499999916,0.8920703249999999,0.95,median,qi
Justin Matson,0.2794025,-0.27608137499999996,0.8092273249999994,0.95,median,qi
Justin McElroy,0.3442285,-0.19109074999999995,0.8528644749999998,0.95,median,qi
Kaitlin Thompson,0.5191515,0.028085627500000036,1.05236425,0.95,median,qi
Kara Klenk,0.2040005,-0.3429061499999998,0.7092172499999997,0.95,median,qi
Karen Han,0.40236,-0.1047430499999999,0.9296411249999998,0.95,median,qi
Keith Habersberger,0.310457,-0.2724131249999999,0.8920229749999999,0.95,median,qi
Kelly Nugent,0.216975,-0.18735602499999984,0.6169961999999999,0.95,median,qi
Ken Napzok,0.2568935,-0.28543612499999993,0.7598773999999997,0.95,median,qi
Kendra Wells,0.361983,-0.17024117499999977,0.9012732,0.95,median,qi
Kim Horcher,0.384295,-0.13411072499999993,0.9128898749999994,0.95,median,qi
Kirk Damato,0.27611600000000003,-0.10886657499999992,0.6593503499999995,0.95,median,qi
Krystina Arielle,0.3679475,-0.07889746249999985,0.8082016249999998,0.95,median,qi
Liam O'Brien,0.26117250000000003,-0.2600482499999997,0.761121099999999,0.95,median,qi
Liam Senior,0.1841335,-0.2878959749999999,0.6265080749999999,0.95,median,qi
Lily Du,0.2302345,-0.32709677499999995,0.7362548999999998,0.95,median,qi
Lindsay Jones,0.16147050000000002,-0.4482842499999998,0.7017614000000001,0.95,median,qi
Lindsay Katai,0.1846235,-0.3709677499999999,0.7031019499999998,0.95,median,qi
Lou Wilson,0.27474350000000003,-0.26014794999999985,0.80031405,0.95,median,qi
Luke Field,0.4494005,0.0015304862500000122,0.91266815,0.95,median,qi
Maddox,0.148241,-0.43756389999999984,0.6595721499999999,0.95,median,qi
Maggie Mae Fish,0.190429,-0.33799365,0.6757869999999998,0.95,median,qi
Malika Lim Eubank,0.07722565,-0.41183707499999994,0.5086906999999997,0.95,median,qi
Mano Agapion,0.342698,-0.19080684999999992,0.8624975499999997,0.95,median,qi
Marina Mastros,0.2795815,-0.26656434999999973,0.8027301749999995,0.95,median,qi
Marisha Ray,0.2309405,-0.26531099999999985,0.7093079999999997,0.95,median,qi
Mark Rennie,0.340151,-0.20591129999999974,0.8645160999999996,0.95,median,qi
Markeia McCarty,0.2853275,-0.1109444749999999,0.663995275,0.95,median,qi
Matt Acevedo,0.39250399999999996,-0.08310630999999971,0.8770834999999997,0.95,median,qi
Matt Kirshen,0.2581325,-0.30273132499999994,0.768215325,0.95,median,qi
Matt Mercer,0.6130895000000001,0.21855705000000006,1.03188625,0.95,median,qi
"Matthew ""Nando"" Kelly",0.49341,-0.016994224999999648,1.0558894999999993,0.95,median,qi
Maude Garrett,0.1694865,-0.4223807249999998,0.6954981249999997,0.95,median,qi
Michael Saltzman,0.37568250000000003,-0.09620423499999997,0.8535190249999999,0.95,median,qi
Michelle Khare,0.24643199999999998,-0.309990525,0.7535736249999999,0.95,median,qi
Michelle Nguyen Bradley,0.033372,-0.4343365249999998,0.44624122499999974,0.95,median,qi
Mike Drucker,0.2525825,-0.2559014749999997,0.7398110499999997,0.95,median,qi
Mike Trapp,0.3561705,-0.1935393499999998,0.9022986999999999,0.95,median,qi
Milana Vayntrub,0.31080450000000004,-0.2864589749999999,0.9093802999999996,0.95,median,qi
Monét X Change,0.31192,-0.28898979999999963,0.89695735,0.95,median,qi
Morgan Lavandowska,0.28500000000000003,-0.26999167499999993,0.814671925,0.95,median,qi
Morgana Ignis,0.2788475,-0.28139699999999995,0.8177062999999997,0.95,median,qi
MT,0.337274,-0.20350412499999995,0.8582500499999999,0.95,median,qi
Natalie Palamides,0.2383745,-0.32494652499999993,0.7434834749999999,0.95,median,qi
Nate Dern,0.1598275,-0.4165277,0.6751561749999998,0.95,median,qi
Nathan Yaffe,0.4758105,-0.04338451499999991,1.03062,0.95,median,qi
Nick Marini,0.5211075000000001,0.11412040000000001,0.9454183999999997,0.95,median,qi
Nick Mundy,0.27631,-0.2820216,0.805819125,0.95,median,qi
Nikhil Clayton,0.2764805,-0.2558044249999998,0.8122879749999997,0.95,median,qi
Noah Diamond,0.39622900000000005,-0.12016729999999987,0.9315968499999999,0.95,median,qi
Omar Najam,0.2671295,-0.27214379999999977,0.7854300749999998,0.95,median,qi
Orion Black,0.29968300000000003,-0.26029964999999977,0.828533775,0.95,median,qi
Oscar Montoya,0.16381400000000002,-0.32348319999999997,0.6172567749999998,0.95,median,qi
Owen Parsons,0.33581150000000004,-0.1941356999999998,0.8529299749999999,0.95,median,qi
Persephone Valentine,0.2424615,-0.26682269999999997,0.7082287749999998,0.95,median,qi
Rachel Bloom,0.232836,-0.328758425,0.7571600749999999,0.95,median,qi
Raphael Chestang,0.0899997,-0.5072741499999999,0.6122978999999995,0.95,median,qi
Rekha Shankar,0.5878920000000001,0.1630308000000002,1.0125465,0.95,median,qi
Riley Silverman,0.1815345,-0.3993512499999998,0.6993934999999999,0.95,median,qi
Ross Bryant,0.4167975,-0.10445502499999994,0.9527464749999998,0.95,median,qi
Ryan Creamer,0.1609395,-0.3574441999999995,0.634974425,0.95,median,qi
Ryan Martin,0.2531775,-0.222491475,0.7104329,0.95,median,qi
Ryanni,0.28067149999999996,-0.26902917499999995,0.8009678999999997,0.95,median,qi
Saige Ryan,0.27015,-0.2850530499999999,0.81174955,0.95,median,qi
Sam Bashor,0.30718449999999997,-0.167879025,0.7824611999999999,0.95,median,qi
Sam Maggs,0.14775300000000002,-0.3822186499999999,0.634355425,0.95,median,qi
Sam Riegel,0.2094815,-0.3411448499999999,0.7084911749999999,0.95,median,qi
Satine Phoenix,0.351699,-0.18953172499999993,0.89137365,0.95,median,qi
Shane Crown,0.4429725,0.08437989750000005,0.799883625,0.95,median,qi
Shay Parsons,0.2768425,-0.278961325,0.8011286499999999,0.95,median,qi
Siobhan Thompson,0.486067,0.153229475,0.8206681,0.95,median,qi
Spencer Porter,0.053342650000000005,-0.54707915,0.5721328499999996,0.95,median,qi
Stef Woodburn,0.2678005,-0.272723625,0.755222925,0.95,median,qi
Steven Plescia,0.219742,-0.33412944999999983,0.7412619749999998,0.95,median,qi
SungWon Cho,0.41448850000000004,-0.10743202499999996,0.9391513249999996,0.95,median,qi
Surena Marie,0.182545,-0.366143975,0.6863276749999998,0.95,median,qi
T.J. Gonzalez,0.215168,-0.3552391999999998,0.7314000499999996,0.95,median,qi
Talieson Jaffe,0.323029,-0.21079329999999988,0.8397299249999995,0.95,median,qi
Tao Yang,0.0631037,-0.379022075,0.47105064999999985,0.95,median,qi
Terence Wiggins,0.33708400000000005,-0.1960270999999994,0.8569020249999999,0.95,median,qi
Thomas Middleditch,0.3536585,-0.18983834999999993,0.879493825,0.95,median,qi
Travis McElroy,0.5105235,0.009211962000000115,1.04540725,0.95,median,qi
Trinity Taylor,0.3095325,-0.2789583249999998,0.8943334249999997,0.95,median,qi
Trisha Hershberger,0.0987697,-0.4445542249999999,0.588278325,0.95,median,qi
Vanessa Guerrero,0.299612,-0.23632162499999965,0.8240425999999997,0.95,median,qi
Vernon X. Odemns,0.1492945,-0.42116232499999984,0.6610138499999998,0.95,median,qi
Winston A. Marshall,0.298279,-0.13098172499999994,0.71025245,0.95,median,qi
Xavier Woods,0.3153365,-0.2946749499999999,0.8944711249999998,0.95,median,qi
Zac Oyama,0.4772515,0.10355047500000017,0.875017825,0.95,median,qi
Zach Kornfeld,0.1435835,-0.43366987499999987,0.6691188999999994,0.95,median,qi
Zach Sherwin,0.204335,-0.34798209999999974,0.7203614499999997,0.95,median,qi
Zeke Nicholson,0.2668645,-0.27264524999999995,0.7853353749999998,0.95,median,qi
